SEParticipantId,SE_Condition,SE_Placement,SE_LabelType,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
26.0,CCTEx,Concurrent,Explicit,100.0,90.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,30.0
26.0,CCTIm,Concurrent,Implicit,100.0,90.0,80.0,70.0,70.0,60.0,50.0,50.0,40.0,30.0
26.0,CCTM,Concurrent,Mix,100.0,90.0,80.0,70.0,70.0,60.0,50.0,40.0,30.0,20.0
26.0,PEEx,PostExposure,Explicit,100.0,100.0,90.0,80.0,70.0,60.0,50.0,40.0,30.0,20.0
27.0,PEM,PostExposure,Mix,70.0,60.0,50.0,50.0,50.0,40.0,40.0,30.0,30.0,30.0
27.0,Control,Control,Control,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,70.0,70.0
27.0,CCTEx,Concurrent,Explicit,80.0,80.0,70.0,70.0,60.0,60.0,50.0,50.0,40.0,40.0
27.0,CCTIm,Concurrent,Implicit,80.0,70.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0,60.0
27.0,CCTM,Concurrent,Mix,80.0,80.0,80.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0
27.0,PEEx,PostExposure,Explicit,100.0,90.0,90.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0
27.0,PEIm,PostExposure,Implicit,80.0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,50.0,50.0
28.0,Control,Control,Control,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0,50.0,50.0
28.0,CCTEx,Concurrent,Explicit,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0,50.0
28.0,CCTIm,Concurrent,Implicit,100.0,100.0,100.0,100.0,90.0,90.0,80.0,70.0,60.0,50.0
28.0,CCTM,Concurrent,Mix,100.0,100.0,100.0,90.0,90.0,90.0,80.0,70.0,60.0,50.0
28.0,PEEx,PostExposure,Explicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0
28.0,PEIm,PostExposure,Implicit,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0
28.0,PEM,PostExposure,Mix,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,70.0
3.0,CCTM,Concurrent,Mix,90.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
3.0,PEEx,PostExposure,Explicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,PEIm,PostExposure,Implicit,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,PEM,PostExposure,Mix,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
3.0,Control,Control,Control,90.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,80.0
